NAME                                          READY     STATUS    RESTARTS   AGE       IP             NODE                                NOMINATED NODE
storageprov2-0-969cb55b7-6cpp2                1/1       Running   0          14h       10.244.4.84    cn-beijing.i-2ze7227j5jix05dr5kqx   <none>
storageprov2-0-969cb55b7-89d22                1/1       Running   0          14h       10.244.3.151   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
storageprov2-0-969cb55b7-p4vth                1/1       Running   0          14h       10.244.3.108   cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
storageprov2-0-969cb55b7-snrqv                1/1       Running   1          14h       10.244.2.3     cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
storageprov2-0-969cb55b7-thb2x                1/1       Running   0          14h       10.244.2.187   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
syncserver-deploy-c8f4685b-6gz9n              1/1       Running   0          1h        10.244.2.4     cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
syncserver-deploy-c8f4685b-sws8b              0/1       Evicted   0          6d        <none>         cn-beijing.i-2ze7227j5jix05dr5kqx   <none>
usercenter-deploy-5475697cd7-bgd4t            1/1       Running   0          8d        10.244.1.254   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
visitor-deploy-845d69bd75-p5ksq               1/1       Running   0          5d        10.244.2.183   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
visitortest-deploy-5498465bbc-9xgsv           1/1       Running   1          61d       10.244.3.102   cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
wo-deploy-9b59f56c6-9fqvc                     1/1       Running   0          49d       10.244.3.137   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
woweb-deploy-75779f87cf-pf9bj                 1/1       Running   0          49d       10.244.3.138   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
zipkin-68c7f9dc85-z8mvf                       1/1       Running   7          151d      10.244.2.238   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
zipkin-ui-684dfc9588-224bn                    1/1       Running   3          64d       10.244.3.99    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
zk-0                                          1/1       Running   6          41d       10.244.3.33    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
zk-1                                          1/1       Running   0          39d       10.244.2.247   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
zk-2                                          1/1       Running   1          41d       10.244.4.91    cn-beijing.i-2ze7227j5jix05dr5kqx   <none>
zk-3                                          1/1       Running   7          62d       10.244.5.69    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
zk-4                                          1/1       Running   3          41d       10.244.4.199   cn-beijing.i-2ze7227j5jix05dr5kqw   <none>
zk-ai2-0                                      1/1       Running   12         62d       10.244.3.31    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>

